11-1011,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers."
13-1051,Cost Estimators,"Prepare cost estimates for product manufacturing, construction projects, or services to aid management in bidding on or determining price of product or service. May specialize according to particular service performed or type of product manufactured."
13-1071,Human Resources Specialists,"Recruit, screen, interview, or place individuals within an organization. May perform other activities in multiple human resources areas. Excludes “Compensation, Benefits, and Job Analysis Specialists” (13-1141) and “Training and Development Specialists” (13-1151)."
13-1074,Farm Labor Contractors,"Recruit and hire seasonal or temporary agricultural laborers. May transport, house, and provide meals for workers."
13-1075,Labor Relations Specialists,"Resolve disputes between workers and managers, negotiate collective bargaining agreements, or coordinate grievance procedures to handle employee complaints. Excludes equal employment opportunity (EEO) officers, who are included in “Compliance Officers” (13-1041)."
13-1081,Logisticians,"Analyze and coordinate the ongoing logistical functions of a firm or organization. Responsible for the entire life cycle of a product, including acquisition, distribution, internal allocation, delivery, and final disposal of resources. Excludes “Transportation, Storage, and Distribution Managers” (11-3071) and “Project Management Specialists” (13-1082)."
13-1082,Project Management Specialists,"Analyze and coordinate the schedule, timeline, procurement, staffing, and budget of a product or service on a per project basis. Lead and guide the work of technical staff. May serve as a point of contact for the client or customer. Excludes “Management Occupations” (11-0000), “Logisticians” (13-1081), “Meeting, Convention, and Event Planners” (13-1121), and “Production, Planning, and Expediting Clerks” (43-5061)."
13-1111,Management Analysts,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants. Excludes “Computer Systems Analysts” (15-1211) and “Operations Research Analysts” (15-2031)."
13-1121,"Meeting, Convention, and Event Planners","Coordinate activities of staff, convention personnel, or clients to make arrangements for group meetings, events, or conventions."
13-1131,Fundraisers,"Organize activities to raise funds or otherwise solicit and gather monetary donations or other gifts for an organization. May design and produce promotional materials. May also raise awareness of the organization’s work, goals, and financial needs."
13-1141,"Compensation, Benefits, and Job Analysis Specialists","Conduct programs of compensation and benefits and job analysis for employer. May specialize in specific areas, such as position classification and pension programs."
13-1151,Training and Development Specialists,"Design or conduct work-related training and development programs to improve individual skills or organizational performance. May analyze organizational training needs or evaluate training effectiveness. Excludes “Career/Technical Education Teachers, Postsecondary” (25-1194) and “Other Teachers and Instructors” (25-3000). Flight instructors are included with “Aircraft Pilots and Flight Engineers” (53-2010)."
13-1161,Market Research Analysts and Marketing Specialists,"Research conditions in local, regional, national, or online markets. Gather information to determine potential sales of a product or service, or plan a marketing or advertising campaign. May gather information on competitors, prices, sales, and methods of marketing and distribution. May employ search marketing tactics, analyze web metrics, and develop recommendations to increase search engine ranking and visibility to target markets. Excludes “Web and Digital Interface Designers” (15-1255), “Art Directors” (27-1011), “Graphic Designers” (27-1024), and “Public Relations Specialists” (27-3031)."
13-1199,"Business Operations Specialists, All Other",All business operations specialists not listed separately.
13-2011,Accountants and Auditors,"Examine, analyze, and interpret accounting records to prepare financial statements, give advice, or audit and evaluate statements prepared by others. Install or advise on systems of recording costs or other financial and budgetary data. Excludes “Tax Examiners and Collectors, and Revenue Agents” (13-2081)."
13-2022,Appraisers of Personal and Business Property,"Appraise and estimate the fair value of tangible personal or business property, such as jewelry, art, antiques, collectibles, and equipment. Includes workers who appraise both personal and business property as well as real estate. May also appraise land. Excludes “Claims Adjusters, Examiners, and Investigators” (13-1031), “Insurance Appraisers, Auto Damage” (13-1032), “Appraisers and Assessors of Real Estate” (13-2023), and “Tax Examiners and Collectors, and Revenue Agents” (13-2081)."
13-2023,Appraisers and Assessors of Real Estate,"Appraise real estate, exclusively, and estimate its fair value. May assess taxes in accordance with prescribed schedules. Excludes “Appraisers of Personal and Business Property” (13-2022)."
13-2031,Budget Analysts,"Examine budget estimates for completeness, accuracy, and conformance with procedures and regulations. Analyze budgeting and accounting reports. Excludes “Financial and Investment Analysts” (13-2051)."
13-2041,Credit Analysts,Analyze credit data and financial statements of individuals or firms to determine the degree of risk involved in extending credit or lending money. Prepare reports with credit information for use in decisionmaking. Excludes “Financial Risk Specialists” (13-2054).
13-2051,Financial and Investment Analysts,"Conduct quantitative analyses of information involving investment programs or financial data of public or private institutions, including valuation of businesses. Excludes “Budget Analysts” (13-2031), “Financial Risk Specialists” (13-2054), and “Securities, Commodities, and Financial Services Sales Agents” (41-3031)."
13-2052,Personal Financial Advisors,"Advise clients on financial plans using knowledge of tax and investment strategies, securities, insurance, pension plans, and real estate. Duties include assessing clients' assets, liabilities, cash flow, insurance coverage, tax status, and financial objectives. May also buy and sell financial assets for clients. Excludes “Securities, Commodities, and Financial Services Sales Agents” (41-3031)."
13-2053,Insurance Underwriters,Review individual applications for insurance to evaluate degree of risk involved and determine acceptance of applications.
13-2054,Financial Risk Specialists,"Analyze and measure exposure to credit and market risk threatening the assets, earning capacity, or economic state of an organization. May make recommendations to limit risk. Excludes “Credit Analysts” (13-2041)."
13-2061,Financial Examiners,"Enforce or ensure compliance with laws and regulations governing financial and securities institutions and financial and real estate transactions. May examine, verify, or authenticate records."
13-2071,Credit Counselors,"Advise and educate individuals or organizations on acquiring and managing debt. May provide guidance in determining the best type of loan and explain loan requirements or restrictions. May help develop debt management plans or student financial aid packages. May advise on credit issues, or provide budget, mortgage, bankruptcy, or student financial aid counseling."
13-2072,Loan Officers,"Evaluate, authorize, or recommend approval of commercial, real estate, or credit loans. Advise borrowers on financial status and payment methods. Includes mortgage loan officers and agents, collection analysts, loan servicing officers, loan underwriters, and payday loan officers."
13-2081,"Tax Examiners and Collectors, and Revenue Agents",Determine tax liability or collect taxes from individuals or business firms according to prescribed laws and regulations.
13-2082,Tax Preparers,Prepare tax returns for individuals or small businesses. Excludes “Accountants and Auditors” (13-2011).
13-2099,"Financial Specialists, All Other",All financial specialists not listed separately.
15-1211,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software."
15-1212,Information Security Analysts,"Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. Assess system vulnerabilities for security risks and propose and implement risk mitigation strategies. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses. Excludes “Computer Network Architects” (15-1241)."
15-1221,Computer and Information Research Scientists,"Conduct research into fundamental computer and information science as theorists, designers, or inventors. Develop solutions to problems in the field of computer hardware and software."
15-1231,Computer Network Support Specialists,"Analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks. Perform network maintenance to ensure networks operate correctly with minimal interruption. Excludes “Computer Network Architects” (15-1241) and “Network and Computer Systems Administrators” (15-1244)."
15-1232,Computer User Support Specialists,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, via telephone, or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems. Excludes “Network and Computer Systems Administrators” (15-1244)."
15-1241,Computer Network Architects,"Design and implement computer and information networks, such as local area networks (LAN), wide area networks (WAN), intranets, extranets, and other data communications networks. Perform network modeling, analysis, and planning, including analysis of capacity needs for network infrastructures. May also design network and computer security measures. May research and recommend network and data communications hardware and software. Excludes “Information Security Analysts” (15-1212), “Computer Network Support Specialists” (15-1231), and “Network and Computer Systems Administrators” (15-1244)."
15-1242,Database Administrators,"Administer, test, and implement computer databases, applying knowledge of database management systems. Coordinate changes to computer databases. Identify, investigate, and resolve database performance issues, database capacity, and database scalability. May plan, coordinate, and implement security measures to safeguard computer databases. Excludes “Information Security Analysts” (15-1212) and “Database Architects” (15-1243)."
15-1243,Database Architects,"Design strategies for enterprise databases, data warehouse systems, and multidimensional networks. Set standards for database operations, programming, query processes, and security. Model, design, and construct large relational databases or data warehouses. Create and optimize data models for warehouse infrastructure and workflow. Integrate new systems with existing warehouse structure and refine system performance and functionality. Excludes “Database Administrators” (15-1242)."
15-1244,Network and Computer Systems Administrators,"Install, configure, and maintain an organization’s local area network (LAN), wide area network (WAN), data communications network, operating systems, and physical and virtual servers. Perform system monitoring and verify the integrity and availability of hardware, network, and server resources and systems. Review system and application logs and verify completion of scheduled jobs, including system backups. Analyze network and server resource consumption and control user access. Install and upgrade software and maintain software licenses. May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software. Excludes “Information Security Analysts” (15-1212), “Computer Network Support Specialists” (15-1231), and “Computer User Support Specialists” (15-1232)."
15-1251,Computer Programmers,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information."
15-1252,Software Developers,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team."
15-1253,Software Quality Assurance Analysts and Testers,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules."
15-1254,Web Developers,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications. Excludes “Special Effects Artists and Animators” (27-1014)."
15-1255,Web and Digital Interface Designers,"Design digital user interfaces or websites. Develop and test layouts, interfaces, functionality, and navigation menus to ensure compatibility and usability across browsers or devices. May use web framework applications as well as client-side code and processes. May evaluate web design following web and accessibility standards, and may analyze web use metrics and optimize websites for marketability and search engine ranking. May design and test interfaces that facilitate the human-computer interaction and maximize the usability of digital devices, websites, and software with a focus on aesthetics and design. May create graphics used in websites and manage website content and links. Excludes “Special Effects Artists and Animators” (27-1014) and “Graphic Designers” (27-1024)."
15-1299,"Computer Occupations, All Other","All computer occupations not listed separately. Excludes “Computer and Information Systems Managers” (11-3021), “Computer Hardware Engineers” (17-2061), “Electrical and Electronics Engineers” (17-2070), “Computer Science Teachers, Postsecondary” (25-1021), “Special Effects Artists and Animators” (27-1014), “Graphic Designers” (27-1024), “Health Information Technologists and Medical Registrars” (29-9021), and “Computer, Automated Teller, and Office Machine Repairers” (49-2011)."
15-2011,Actuaries,"Analyze statistical data, such as mortality, accident, sickness, disability, and retirement rates and construct probability tables to forecast risk and liability for payment of future benefits. May ascertain insurance rates required and cash reserves necessary to ensure payment of future benefits."
15-2021,Mathematicians,"Conduct research in fundamental mathematics or in application of mathematical techniques to science, management, and other fields. Solve problems in various fields using mathematical methods."
15-2031,Operations Research Analysts,"Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decisionmaking, policy formulation, or other managerial functions. May collect and analyze data and develop decision support software, services, or products. May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation."
15-2041,Statisticians,"Develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields such as biostatistics, agricultural statistics, business statistics, or economic statistics. Includes mathematical and survey statisticians. Excludes “Survey Researchers” (19-3022)."
15-2051,Data Scientists,"Develop and implement a set of techniques or analytics applications to transform raw data into meaningful information using data-oriented programming languages and visualization software. Apply data mining, data modeling, natural language processing, and machine learning to extract and analyze information from large structured and unstructured datasets. Visualize, interpret, and report data findings. May create dynamic data reports. Excludes “Statisticians” (15-2041), “Cartographers and Photogrammetrists” (17-1021), and “Health Information Technologists and Medical Registrars” (29-9021)."
15-2099,"Mathematical Science Occupations, All Other",All mathematical scientists not listed separately.
17-1011,"Architects, Except Landscape and Naval","Plan and design structures, such as private residences, office buildings, theaters, factories, and other structural property. Excludes “Landscape Architects” (17-1012) and “Marine Engineers and Naval Architects” (17-2121)."
17-1012,Landscape Architects,"Plan and design land areas for projects such as parks and other recreational facilities, airports, highways, hospitals, schools, land subdivisions, and commercial, industrial, and residential sites."
17-1021,Cartographers and Photogrammetrists,"Research, study, and prepare maps and other spatial data in digital or graphic form for one or more purposes, such as legal, social, political, educational, and design purposes. May work with Geographic Information Systems (GIS). May design and evaluate algorithms, data structures, and user interfaces for GIS and mapping systems. May collect, analyze, and interpret geographic information provided by geodetic surveys, aerial photographs, and satellite data."
17-1022,Surveyors,"Make exact measurements and determine property boundaries. Provide data relevant to the shape, contour, gravitation, location, elevation, or dimension of land or land features on or near the earth’s surface for engineering, mapmaking, mining, land evaluation, construction, and other purposes."
17-2011,Aerospace Engineers,"Perform engineering duties in designing, constructing, and testing aircraft, missiles, and spacecraft. May conduct basic and applied research to evaluate adaptability of materials and equipment to aircraft design and manufacture. May recommend improvements in testing equipment and techniques."
17-2021,Agricultural Engineers,"Apply knowledge of engineering technology and biological science to agricultural problems concerned with power and machinery, electrification, structures, soil and water conservation, and processing of agricultural products."
17-2031,Bioengineers and Biomedical Engineers,"Apply knowledge of engineering, biology, chemistry, computer science, and biomechanical principles to the design, development, and evaluation of biological, agricultural, and health systems and products, such as artificial organs, prostheses, instrumentation, medical information systems, and health management and care delivery systems."
17-2041,Chemical Engineers,"Design chemical plant equipment and devise processes for manufacturing chemicals and products, such as gasoline, synthetic rubber, plastics, detergents, cement, paper, and pulp, by applying principles and technology of chemistry, physics, and engineering."
17-2051,Civil Engineers,"Perform engineering duties in planning, designing, and overseeing construction and maintenance of building structures and facilities, such as roads, railroads, airports, bridges, harbors, channels, dams, irrigation projects, pipelines, power plants, and water and sewage systems. Includes architectural, structural, traffic, and geotechnical engineers. Excludes “Hydrologists” (19-2043)."
17-2061,Computer Hardware Engineers,"Research, design, develop, or test computer or computer-related equipment for commercial, industrial, military, or scientific use. May supervise the manufacturing and installation of computer or computer-related equipment and components. Excludes “Software Developers” (15-1252) and “Web Developers” (15-1254)."
17-2071,Electrical Engineers,"Research, design, develop, test, or supervise the manufacturing and installation of electrical equipment, components, or systems for commercial, industrial, military, or scientific use. Excludes “Computer Hardware Engineers” (17-2061)."
17-2072,"Electronics Engineers, Except Computer","Research, design, develop, or test electronic components and systems for commercial, industrial, military, or scientific use employing knowledge of electronic theory and materials properties. Design electronic circuits and components for use in fields such as telecommunications, aerospace guidance and propulsion control, acoustics, or instruments and controls. Excludes “Computer Hardware Engineers” (17-2061)."
17-2081,Environmental Engineers,"Research, design, plan, or perform engineering duties in the prevention, control, and remediation of environmental hazards using various engineering disciplines. Work may include waste treatment, site remediation, or pollution control technology."
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Promote worksite or product safety by applying knowledge of industrial processes, mechanics, chemistry, psychology, and industrial health and safety laws. Includes industrial product safety engineers."
17-2112,Industrial Engineers,"Design, develop, test, and evaluate integrated systems for managing industrial production processes, including human work factors, quality control, inventory control, logistics and material flow, cost analysis, and production coordination. Excludes “Health and Safety Engineers, Except Mining Safety Engineers and Inspectors” (17-2111)."
17-2121,Marine Engineers and Naval Architects,"Design, develop, and evaluate the operation of marine vessels, ship machinery, and related equipment, such as power supply and propulsion systems."
17-2131,Materials Engineers,"Evaluate materials and develop machinery and processes to manufacture materials for use in products that must meet specialized design and performance specifications. Develop new uses for known materials. Includes those engineers working with composite materials or specializing in one type of material, such as graphite, metal and metal alloys, ceramics and glass, plastics and polymers, and naturally occurring materials. Includes metallurgists and metallurgical engineers, ceramic engineers, and welding engineers."
17-2141,Mechanical Engineers,"Perform engineering duties in planning and designing tools, engines, machines, and other mechanically functioning equipment. Oversee installation, operation, maintenance, and repair of equipment such as centralized heat, gas, water, and steam systems."
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers","Conduct subsurface surveys to identify the characteristics of potential land or mining development sites. May specify the ground support systems, processes, and equipment for safe, economical, and environmentally sound extraction or underground construction activities. May inspect areas for unsafe geological conditions, equipment, and working conditions. May design, implement, and coordinate mine safety programs. Excludes “Petroleum Engineers” (17-2171)."
17-2161,Nuclear Engineers,"Conduct research on nuclear engineering projects or apply principles and theory of nuclear science to problems concerned with release, control, and use of nuclear energy and nuclear waste disposal."
17-2171,Petroleum Engineers,Devise methods to improve oil and gas extraction and production and determine the need for new or modified tool designs. Oversee drilling and offer technical advice.
17-2199,"Engineers, All Other","All engineers not listed separately. Excludes “Sales Engineers” (41-9031), “Locomotive Engineers” (53-4011), and “Ship Engineers” (53-5031)."
17-3011,Architectural and Civil Drafters,"Prepare detailed drawings of architectural and structural features of buildings or drawings and topographical relief maps used in civil engineering projects, such as highways, bridges, and public works. Use knowledge of building materials, engineering practices, and mathematics to complete drawings."
17-3012,Electrical and Electronics Drafters,"Prepare wiring diagrams, circuit board assembly diagrams, and layout drawings used for the manufacture, installation, or repair of electrical equipment."
17-3013,Mechanical Drafters,"Prepare detailed working diagrams of machinery and mechanical devices, including dimensions, fastening methods, and other engineering information."
17-3019,"Drafters, All Other",All drafters not listed separately.
17-3021,Aerospace Engineering and Operations Technologists and Technicians,"Operate, install, adjust, and maintain integrated computer/communications systems, consoles, simulators, and other data acquisition, test, and measurement instruments and equipment, which are used to launch, track, position, and evaluate air and space vehicles. May record and interpret test data."
17-3022,Civil Engineering Technologists and Technicians,"Apply theory and principles of civil engineering in planning, designing, and overseeing construction and maintenance of structures and facilities under the direction of engineering staff or physical scientists."
17-3023,Electrical and Electronic Engineering Technologists and Technicians,"Apply electrical and electronic theory and related knowledge, usually under the direction of engineering staff, to design, build, repair, adjust, and modify electrical components, circuitry, controls, and machinery for subsequent evaluation and use by engineering staff in making engineering design decisions. Excludes “Broadcast Technicians” (27-4012)."
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,"Operate, test, maintain, or adjust unmanned, automated, servomechanical, or electromechanical equipment. May operate unmanned submarines, aircraft, or other equipment to observe or record visual information at sites such as oil rigs, crop fields, buildings, or for similar infrastructure, deep ocean exploration, or hazardous waste removal. May assist engineers in testing and designing robotics equipment."
17-3025,Environmental Engineering Technologists and Technicians,"Apply theory and principles of environmental engineering to modify, test, and operate equipment and devices used in the prevention, control, and remediation of environmental problems, including waste treatment and site remediation, under the direction of engineering staff or scientists. May assist in the development of environmental remediation devices."
17-3026,Industrial Engineering Technologists and Technicians,"Apply engineering theory and principles to problems of industrial layout or manufacturing production, usually under the direction of engineering staff. May perform time and motion studies on worker operations in a variety of industries for purposes such as establishing standard production rates or improving efficiency."
17-3027,Mechanical Engineering Technologists and Technicians,"Apply theory and principles of mechanical engineering to modify, develop, test, or adjust machinery and equipment under direction of engineering staff or physical scientists."
