Apple Inc.,"Apple Inc. (formerly Apple Computer, Inc.) is an American multinational corporation and technology company headquartered in Cupertino, California, in Silicon Valley. It designs, develops, and sells consumer electronics, computer software, and online services. Devices include the iPhone, iPad, Mac, Apple Watch, Vision Pro, and Apple TV; operating systems include iOS, iPadOS, and macOS; and software applications and services include iTunes, iCloud, Apple Music, and Apple TV+.
Since 2011, Apple has been the world's largest company by market capitalization except when Microsoft held the position between January and June 2024. In 2022, Apple was the largest technology company by revenue, with US$394.3 billion. As of 2023, Apple was the fourth-largest personal computer vendor by unit sales, the largest manufacturing company by revenue, and the largest vendor of mobile phones in the world. It is one of the Big Five American information technology companies, alongside Alphabet (the parent company of Google), Amazon, Meta (the parent company of Facebook), and Microsoft.
Apple was founded as Apple Computer Company on April 1, 1976, to produce and market Steve Wozniak's Apple I personal computer. The company was incorporated by Wozniak and Steve Jobs in 1977. Its second computer, the Apple II, became a best seller as one of the first mass-produced microcomputers. Apple introduced the Lisa in 1983 and the Macintosh in 1984, as some of the first computers to use a graphical user interface and a mouse. By 1985, the company's internal problems included the high cost of its products and power struggles between executives. That year Jobs left Apple to form NeXT, Inc., and Wozniak withdrew to other ventures. The market for personal computers expanded and evolved throughout the 1990s, and Apple lost considerable market share to the lower-priced Wintel duopoly of the Microsoft Windows operating system on Intel-powered PC clones.
In 1997, Apple was weeks away from bankruptcy. To resolve its failed operating system strategy and entice Jobs's return, it bought NeXT. Over the next decade, Jobs guided Apple back to profitability through several tactics including introducing the iMac, iPod, iPhone, and iPad to critical acclaim, launching the ""Think different"" campaign and other memorable advertising campaigns, opening the Apple Store retail chain, and acquiring numerous companies to broaden its product portfolio. Jobs resigned in 2011 for health reasons, and died two months later. He was succeeded as CEO by Tim Cook.
Apple has received criticism regarding its contractors' labor practices, its environmental practices, and its business ethics, including anti-competitive practices and materials sourcing. Nevertheless, it has a large following and a high level of brand loyalty. It has been consistently ranked as one of the world's most valuable brands.
Apple became the first publicly traded U.S. company to be valued at over $1 trillion in August 2018, then at $2 trillion in August 2020, and at $3 trillion in January 2022. In June 2024, it was valued at just over $3.2 trillion."
U.S. Bancorp,"U.S. Bancorp (stylized as us bancorp) is an American bank holding company based in Minneapolis, Minnesota, and incorporated in Delaware. It is the parent company of U.S. Bank National Association, and is the fifth largest banking institution in the United States. The company provides banking, investment, mortgage, trust, and payment services products to individuals, businesses, governmental entities, and other financial institutions. As of 2019, it had 3,106 branches and 4,842 automated teller machines, primarily in the Western and Midwestern United States. In 2023 it ranked 149th on the Fortune 500, and it is considered a systemically important bank by the Financial Stability Board. The company also owns Elavon, a processor of credit card transactions for merchants, and Elan Financial Services, a credit card issuer that issues credit card products on behalf of small credit unions and banks across the U.S.
U.S. Bancorp operates under the second-oldest continuous national charter, originally Charter #24, granted in 1863 following the passage of the National Bank Act. Earlier charters have expired as banks were closed or acquired, raising U.S. Bank's charter number from #24 to #2. The oldest national charter, originally granted to the First National Bank of Philadelphia, is held by Wells Fargo, which was obtained upon its merger with Wachovia."
Wells Fargo,"Wells Fargo & Company is an American multinational financial services company with a significant global presence. The company operates in 35 countries and serves over 70 million customers worldwide. It is a systemically important financial institution according to the Financial Stability Board, and is considered one of the ""Big Four Banks"" in the United States, alongside JPMorgan Chase, Bank of America, and Citigroup.
The firm's primary subsidiary is Wells Fargo Bank, N.A., a national bank that designates its Sioux Falls, South Dakota, site as its main office (and therefore is treated by most U.S. federal courts as a citizen of South Dakota). It is the fourth-largest bank in the United States by total assets and is also one of the largest as ranked by bank deposits and market capitalization. It has 8,050 branches and 13,000 automated teller machines and 2,000 stand-alone mortgage branches. It is the second-largest retail mortgage originator in the United States, originating one out of every four home loans and services $1.8 trillion in home mortgages, one of the largest servicing portfolios in the US. It is one of the most valuable bank brands. Wells Fargo is ranked 47th on the Fortune 500 list of the largest companies in the U.S.
In addition to banking, the company provides equipment financing via subsidiaries including Wells Fargo Rail and provides investment management and stockbrokerage services. A key part of Wells Fargo's business strategy is cross-selling, the practice of encouraging existing customers to buy additional banking services. This led to the Wells Fargo cross-selling scandal.
Wells Fargo has international offices in London, Dublin, Paris, Dubai, Singapore, Tokyo, Shanghai, Beijing, and Toronto, among others. Back-offices are in India and the Philippines with more than 20,000 staff.
Wells Fargo operates under Charter No. 1, the first national bank charter issued in the United States. This charter was issued to First National Bank of Philadelphia on June 20, 1863, by the Office of the Comptroller of the Currency. Wells Fargo, in its present form, is a result of a merger between the original Wells Fargo & Company and Minneapolis-based Norwest Corporation in 1998. The merged company took the better-known Wells Fargo name and moved to Wells Fargo's hub in San Francisco. At the same time, Norwest's banking subsidiary merged with Wells Fargo's Sioux Falls-based banking subsidiary. Wells Fargo became a coast-to-coast bank with the 2008 acquisition of Charlotte-based Wachovia."
Live Nation Entertainment,"Live Nation Entertainment, Inc. is an American multinational entertainment company that was founded in 2010 following the merger of Live Nation and Ticketmaster. It promotes, operates and manages ticket sales for live entertainment internationally. It also owns and operates entertainment venues and manages the careers of music artists.
The company has faced widespread criticism over its central role in the consolidation of the live events industry, allegations that it proactively engages in anti-competitive practices, poor handling of the ticket sale process for highly popular events, and injuries and deaths that have occurred at many of its events.
As of early 2023, Live Nation's annual shareholders report says the company has controlling interests in 338 venues globally and believes itself to be ""the largest live entertainment company in the world,"" ""the largest producer of live music concerts in the world,"" ""the world’s leading live entertainment ticketing sales and marketing company,"" and ""one of"" the world's biggest artist management companies and music advertising networks for corporate brands.
In May 2024, the Justice Department and a coalition of states sued to break up Live Nation over antitrust violations."
Edison International,"Edison International is a public utility holding company based in Rosemead, California. Its subsidiaries include Southern California Edison, and unregulated non-utility business assets Edison Energy. Edison's roots trace back to Holt & Knupps, a company founded in 1886 as a provider of street lights in Visalia, California."
Skyworks Solutions,"Skyworks Solutions, Inc. is an American semiconductor company headquartered in Irvine, California, United States, and a constituent of the S&P 500.
In 2009, Skyworks Solutions Inc. took over Axiom Microdevices Inc., a company that provides CMOS-based mobile phone power amplifiers, for an undisclosed amount. On October 5, 2015, Skyworks Solutions entered a definitive agreement to acquire PMC-Sierra for $2 billion in cash. However, Skyworks walked away from the deal, having been outbid by Microsemi. In 2018, Skyworks purchased Avnera for US$405 million. On April 22, 2021, Skyworks Solutions entered into a definitive agreement with Silicon Labs to acquire their Infrastructure & Automotive business for $2.75 billion. Mobile products comprised about 60% of total revenue, while Broad Markets products comprised 40% of total revenue from non-mobile markets like automotive, infrastructure and industrial."
Allegion,"Allegion plc is an American Irish-domiciled provider of security products for homes and businesses. 
Though it comprises thirty-one global brands, including CISA, Interflex, LCN, Schlage and Von Duprin, the company operates through two main sections: Allegion International and Allegion Americas. The company employs around 12,000 people, sells its products in more than 130 countries across the world and in 2022 generated revenues of US$3.27 billion.
It is part of the S&P 500 and headquartered in Dublin."
Booking Holdings,"Booking Holdings Inc. is an American travel technology company incorporated under Delaware General Corporation Law and based in Norwalk, Connecticut, that owns and operates several travel fare aggregators and travel fare metasearch engines including namesake and flagship Booking.com, Priceline.com, Agoda, Kayak, Cheapflights, Rentalcars.com, Momondo, and OpenTable. It operates websites in about 40 languages and 200 countries.
The company is ranked 243rd on the Fortune 500 list of the largest United States corporations by revenue. The company primarily derives its revenue from commissions, with a small portion derived from advertising. In 2023, consumers booked 1,049 million room nights of accommodation, 74 million rental car days, and 36 million airplane tickets using websites owned by Booking Holdings.: 43 "
Builders FirstSource,"Builders FirstSource, Inc. is a Fortune 500 company that is a manufacturer and supplier of building materials. The company is headquartered in Irving, Texas, and is the largest supplier of building products, prefabricated components and value-added services in the US. Builders FirstSource employs over 15,000 people throughout the USA.  They serve new residential construction, repair and remodeling professionals. The company was incorporated in March 1998. The company has about 550 locations in 40 US states.
In 2015, Builders FirstSource acquired ProBuild.  This acquisition resulted in a combined entity with $6.1 billion in combined 2014 revenue. In 2018, the revenue of the combined company was $7.7 Billion.
In December 2019, Builders FirstSource acquired Raney Components, LLC and Raney Construction, Inc, located in Groveland, Florida.
In January 2020, Builders FirstSource acquired Bianchi & Company, Inc, a millwork supplier and install company located in Charlotte, North Carolina. In September 2020, Builders FirstSource announced a merger with BMC Stock Holdings, in which the newly merged company would operate under the Builders FirstSource branding.
In January 2021, the company announced that former BMC president and CEO Dave Flitman was named president. Flitman was later named CEO of the company in April 2021 after a 90-day transition.
Builders FirstSource announced authorization of a new $1 billion stock repurchase plan on February 18, 2022. This announcement comes on the heels of the completion of $2 Billion stock repurchase programs initiated in 2021. As of February 17, 2022, shares outstanding were approximately 176.8 million shares. Builders FirstSource will use its discretion to determine the timing and amount of any share repurchases under the new plan. Builders FirstSource is not required to repurchase any particular amount of its common stock, and the share repurchase program may be suspended or discontinued at any time at the company's discretion."
Applied Materials,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor (integrated circuit) chips for electronics, flat panel displays for computers, smartphones, televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, and is the second largest supplier of semiconductor equipment in the world based on revenue behind ASML of Netherlands."
Motorola Solutions,"Motorola Solutions, Inc. is an American video equipment, telecommunications equipment, software, systems and services provider that succeeded Motorola, Inc., following the spinoff of the mobile phone division into Motorola Mobility in 2011. The company is headquartered in Chicago, Illinois."
Uber,"Uber Technologies, Inc., commonly referred to as Uber, is an American multinational transportation company that provides ride-hailing services, courier services, food delivery, and freight transport. It is headquartered in San Francisco, California, and operates in approximately 70 countries and 10,500 cities worldwide. It is the largest ridesharing company worldwide with over 150 million monthly active users and 6 million active drivers and couriers. It facilitates an average of 28 million trips per day and has facilitated 47 billion trips since its inception in 2010. In 2023, the company had a take rate (revenue as a percentage of gross bookings) of 28.7% for mobility services and 18.3% for food delivery.
Uber classifies its drivers as gig workers or independent contractors, what has drawn criticism and legal challenges because it allows the company to withhold worker protections that it would have been required to provide to employees. Studies have shown that, especially in cities where it competes with public transport, Uber contributes to traffic congestion, reduces public transport use, has no substantial impact on vehicle ownership, and increases automobile dependency. Other controversies involving Uber include various unethical practices such as aggressive lobbying and ignoring/evading local regulations. Some of these conducts were revealed by a leak of documents showing controversial activity between 2013 and 2017 under the leadership of Travis Kalanick."
Henry Schein,"Henry Schein, Inc. is an American distributor of health care products and services with a presence in 33 countries. Ethisphere named Henry Schein as one of the 2024 World's Most Ethical Companies for the 13th consecutive year. The company also received the 2024 Equality 100 Award: Leader in LGBTQ+ Workplace Inclusion by the Human Rights Campaign Foundation."
LKQ Corporation,"LKQ Corporation (“Leadership, Know-how, and Quality”) is an American provider of alternative and speciality parts to repair and accessorize automobiles and other vehicles. LKQ has operations in North America, Europe and Taiwan. LKQ sells replacement systems, components, equipment and parts to repair and accessorize automobiles, trucks, and recreational and performance vehicles. 
In December 2018, it was #300 on the list Fortune 500. In March 2017, Dominick P. Zarcone was selected to become the new President and Chief Executive Officer."
Cisco,"Cisco Systems, Inc. (using the trademark Cisco) is an American multinational digital communications technology conglomerate corporation headquartered in San Jose, California. Cisco develops, manufactures, and sells networking hardware, software, telecommunications equipment and other high-technology services and products. Cisco specializes in specific tech markets, such as the Internet of things (IoT), domain security, videoconferencing, and energy management with leading products including Webex, OpenDNS, Jabber, Duo Security, Silicon One, and Jasper.
Cisco Systems was founded in December 1984 by Leonard Bosack and Sandy Lerner, two Stanford University computer scientists who had been instrumental in connecting computers at Stanford. They pioneered the concept of a local area network (LAN) being used to connect distant computers over a multiprotocol router system. The company went public in 1990 and, by the end of the dot-com bubble in the year 2000, had a market capitalization of $500 billion, surpassing Microsoft as the world's most valuable company. 
Cisco stock (CSCO) was added to the Dow Jones Industrial Average on June 8, 2009, and is also included in the S&P 500, Nasdaq-100, the Russell 1000, and the Russell 1000 Growth Stock indices."
Welltower,"Welltower Inc. is a real estate investment trust that invests in healthcare infrastructure. It is ranked 583rd on the Fortune 500. As of December 31, 2022, the company had investments in approximately 3,000 properties, all of which were in the United States, Canada, and the United Kingdom."
Alliant Energy,"Alliant Energy Corporation is a public utility holding company headquartered in Madison, Wisconsin, providing power in Iowa and Wisconsin."
BorgWarner,"BorgWarner Inc. is an American automotive and e-mobility supplier headquartered in Auburn Hills, Michigan. As of 2022, the company maintains production facilities and sites at 92 locations in 24 countries, and generates revenues of US$15.8 billion, while employing around 52,000 people. The company is one of the 25 largest automotive suppliers in the world."
Bunge Global,"Bunge Global SA (BUN-ghee) is a global agribusiness and food company, incorporated in Geneva, Switzerland and headquartered in St. Louis, Missouri, United States. 
As well as being an international soybean exporter, it is also involved in food processing, grain trading, and fertilizer. It competes with Cargill, Archer Daniels Midland and Louis Dreyfus. The company has approximately 32,000 employees in 40 countries."
Edwards Lifesciences,"Edwards Lifesciences is an American medical technology company headquartered in Irvine, California, specializing in artificial heart valves and hemodynamic monitoring. It developed the SAPIEN transcatheter aortic heart valve made of cow tissue within a balloon-expandable, cobalt-chromium frame, deployed via catheter. The company has manufacturing facilities at the Irvine headquarters, as well as in Draper, Utah; Costa Rica; the Dominican Republic; Puerto Rico; and Singapore; and is building a new facility due to be completed in 2021 in Limerick, Ireland."
Aptiv,"Aptiv PLC is an Irish-American automotive technology supplier with headquarters in Dublin. Aptiv grew out of the now-defunct American company, Delphi Automotive Systems, which itself was formerly a component of General Motors."
Snap-on,"Snap-on Incorporated is an American designer, manufacturer, and marketer of high-end tools and equipment for professional use in the transportation industry including the automotive, heavy duty, equipment, marine, aviation, and railroad industries. Headquartered in Kenosha, Wisconsin, Snap-on also distributes lower-end tools under the brand name Blue-Point. Their primary competitors include Matco, Mac Tools, and Cornwell Tools."
West Pharmaceutical Services,"West Pharmaceutical Services, Inc. is a designer and manufacturer of injectable pharmaceutical packaging and delivery systems. Founded in 1923 by Herman O. West and J.R. Wike of Philadelphia, the company is headquartered in Exton, Pennsylvania. In its early years of development, West produced rubber components for packaging injectable drugs, providing a sterile environment for the producers of penicillin and insulin."
"UDR, Inc.","UDR Inc. (formerly United Dominion Realty) is a publicly traded real estate investment trust that invests in apartments. The company is organized in Maryland with its headquarters in Highlands Ranch, Colorado. As of December 31, 2020, the company owned interests in 149 apartment communities containing 48,283 apartment units.
It is the 19th largest owner of apartments in the United States and the 30th largest apartment property manager in the United States."
Hershey's,"Hershey's may refer to:

The Hershey Company, the chocolate manufacturer, commonly called Hershey's
Hershey's Ice Cream or Hershey Creamery Company
Hershey's Chocolate World, several visitor centers which started in Hershey, Pennsylvania, US"
Allstate,"The Allstate Corporation is an American insurance company, headquartered in Glenview, Illinois (with a Northbrook, Illinois address) since 2022. Founded in 1931 as part of Sears, Roebuck and Co., it was spun off in 1993, but was still partially owned by Sears until it became an independent company completely  in June 1995.  The company also has personal line insurance operations in Canada.
Allstate is a large corporation, and with 2018 revenues of $39.8 billion, it ranked 79th in the 2019 Fortune 500 list of the largest United States corporations by total revenue. Its long-running advertising campaign, in use since 1950, asks, ""Are you in good hands?"", and the recognizable logo portrays a suburban-style dwelling cradled protectively in a pair of giant human hands.their service has been the best ever"
Lockheed Martin,"The Lockheed Martin Corporation is an American aerospace and defense manufacturer with worldwide interests. It was formed by the merger of Lockheed Corporation with Martin Marietta in March 1995. It is headquartered in North Bethesda, Maryland, in the Washington, D.C. area. As of January 2022, Lockheed Martin employs approximately 115,000 employees worldwide, including about 60,000 engineers and scientists.
Lockheed Martin is one of the largest companies in the aerospace, military support, security, and technologies industry. It was the world's largest defense contractor by revenue for fiscal year 2014. In 2013, 78% of Lockheed Martin's revenues came from military sales; it topped the list of US federal government contractors and received nearly 10% of the funds paid out by the Pentagon. In 2009, US government contracts accounted for $38.4 billion (85%), foreign government contracts for $5.8 billion (13%), and commercial and other contracts for $900 million (2%).
Half of the corporation's annual sales are to the U.S. Department of Defense. Lockheed Martin is also a contractor for the U.S. Department of Energy and the National Aeronautics and Space Administration (NASA).
Lockheed Martin operates in four business segments: Aeronautics, Missiles and Fire Control (MFC), Rotary and Mission Systems (RMS), and Space. The company has received the Collier Trophy six times, including in 2001 for being part of developing the X-35/F-35B LiftFan Propulsion System and most recently in 2018 for the Automatic Ground Collision Avoidance System (Auto-GCAS). Lockheed Martin is currently developing the F-35 Lightning II and leads the international supply chain, leads the team for the development and implementation of technology solutions for the new USAF Space Fence (AFSSS replacement), and is the primary contractor for the development of the Orion command module. The company also invests in healthcare systems, renewable energy systems, intelligent energy distribution, and compact nuclear fusion."
Boston Properties,"Boston Properties, Inc. is a publicly traded real estate investment trust that invests in premier workplaces in Boston, Los Angeles, New York City, San Francisco, Seattle, and Washington, D.C. As of December 31, 2023, the company owned or had interests in 188 commercial real estate properties, aggregating approximately 53.3 million net rentable square feet."
Citigroup,"Citigroup Inc. or Citi (stylized as citi) is an American multinational investment bank and financial services corporation incorporated in Delaware and headquartered in New York City. The company was formed by the merger of Citicorp, the bank holding company for Citibank, and Travelers in 1998; Travelers was spun off from the company in 2002.
Citigroup is the third-largest banking institution in the United States by assets; alongside JPMorgan Chase, Bank of America, and Wells Fargo, it is one of the Big Four banking institutions of the United States. It is considered a systemically important bank by the Financial Stability Board and is commonly cited as being too big to fail. It is one of the eight global investment banks in the Bulge Bracket. Citigroup is ranked 36th on the Fortune 500, and was ranked #24 in Forbes Global 2000 in 2023.
Citigroup operates with two major divisions: Institutional Clients Group
(ICG), which offers investment banking and corporate banking services as well as treasury and trade solutions (TTS) and securities services such as custodian banking; and Personal Banking and Wealth Management (PBWM), which includes Citibank, a retail bank, the third largest issuer of credit cards, as well as its wealth management department. The company also operates banking subsidiaries in several countries; however, it is in the process of exiting most of its international operations. But Citi plans to launch an investment banking unit in China within 12 to 18 months in 2024. The company has already hired a CEO, CFO and compliance director in January, and will hire 30 more employees by the end of the year."
Cadence Design Systems,"Cadence Design Systems, Inc. (stylized as cādence), is an American multinational technology and computational software company. Headquartered in San Jose, California, Cadence was formed in 1988 through the merger of SDA Systems and ECAD. Initially specialized in electronic design automation (EDA) software for the semiconductor industry, currently the company makes software and hardware for designing products such as integrated circuits, systems on chips (SoCs), printed circuit boards, and pharmaceutical drugs, also licensing intellectual property for the electronics, aerospace, defense and automotive industries, among others."
Electronic Arts,"Electronic Arts Inc. (EA) is an American video game company headquartered in Redwood City, California. Founded in May 1982 by former Apple employee Trip Hawkins, the company was a pioneer of the early home computer game industry and promoted the designers and programmers responsible for its games as ""software artists"". EA published numerous games and some productivity software for personal computers, all of which were developed by external individuals or groups until 1987's Skate or Die! The company shifted toward internal game studios, often through acquisitions, such as Distinctive Software becoming EA Canada in 1991.
Into the 2020s, EA develops and publishes games of established franchises, including Battlefield, Need for Speed, The Sims, Medal of Honor, Command & Conquer, Dead Space, Mass Effect, Dragon Age, Army of Two, Apex Legends, and Star Wars, as well as the EA Sports titles FC, FIFA, Madden NFL, NBA Live, NHL, PGA, and UFC. Since 2022, their desktop titles appear on self-developed EA App, an online gaming digital distribution platform for PCs and a direct competitor to Valve's Steam and Epic Games' Store. EA also owns and operates major gaming studios such as DICE, Motive Studio, BioWare, and Respawn Entertainment."
Solventum,"Solventum Corporation is an American health care company that was spun off from 3M on April 1, 2024."
Ulta Beauty,"Ulta Beauty, Inc., formerly known as Ulta Salon, Cosmetics & Fragrance Inc. and before 2000 as Ulta3, is an American chain of cosmetic stores headquartered in Bolingbrook, Illinois. Ulta Beauty carries both high-end and low-end cosmetics, fragrances, nail products, bath and body products, beauty tools and haircare products. Each location  has a beauty salon available to the public."
Western Digital,"Western Digital Corporation (WDC, commonly known as Western Digital or WD) is an American computer drive manufacturer and data storage company, headquartered in San Jose, California. It designs, manufactures and sells data technology products, including data storage devices, data center systems and cloud storage services.
Western Digital has a long history in the electronics industry as an integrated circuit maker and a storage products company. It is one of the largest computer hard disk drive manufacturers, along with producing solid-state drives and flash memory devices. Its competitors include the data management and storage companies Seagate Technology and Micron Technology."
Arch Capital Group,"Arch Capital Group Ltd. (Arch Capital or ACGL) is a Bermuda-based public limited company which writes insurance, reinsurance and mortgage insurance on a worldwide basis, with a focus on specialty lines, the segment of the insurance industry where the more difficult and unusual risks are written. It has operations in Bermuda, the United States, Canada, Europe, Australia and, in the case of mortgage insurance, Hong Kong."
